,Ticker,Indicador,ATUAL,2021,2020,2019,2018,2017,2016,2015,2014,2013,Setor
0,AALR3,D.Y ,-%,-%,"0,79%","0,47%",-%,-%,-%,-%,-%,-%,Serv.Méd.Hospit..Análises e Diagnósticos
1,AALR3,P/L ,"-397,04","-314,82","-13,48","52,01","39,28","263,19",-,-,-,-,Serv.Méd.Hospit..Análises e Diagnósticos
2,AALR3,PEG Ratio ,"4,21","3,34",-,-,"0,08",-,-,-,-,-,Serv.Méd.Hospit..Análises e Diagnósticos
3,AALR3,P/VP ,"1,85","1,46","1,10","1,68","1,25","1,44",-,-,-,-,Serv.Méd.Hospit..Análises e Diagnósticos
4,AALR3,EV/EBITDA ,"13,88","11,65","17,06","10,27","9,58","15,12",-,-,-,-,Serv.Méd.Hospit..Análises e Diagnósticos
5,AALR3,EV/EBIT ,"32,71","27,46","-205,83","18,75","15,35","32,11",-,-,-,-,Serv.Méd.Hospit..Análises e Diagnósticos
6,AALR3,P/EBITDA ,"10,75","8,52","11,93","8,25","7,16","11,72",-,-,-,-,Serv.Méd.Hospit..Análises e Diagnósticos
7,AALR3,P/EBIT ,"25,33","20,08","-143,93","15,06","11,47","24,89",-,-,-,-,Serv.Méd.Hospit..Análises e Diagnósticos
8,AALR3,VPA ,"10,22","10,22","10,06","10,84","10,63","10,31",-,-,-,-,Serv.Méd.Hospit..Análises e Diagnósticos
9,AALR3,P/Ativo ,"0,88","0,70","0,52","0,89","0,71","0,77",-,-,-,-,Serv.Méd.Hospit..Análises e Diagnósticos
10,AALR3,LPA ,"-0,05","-0,05","-0,82","0,35","0,34","0,06",-,-,-,-,Serv.Méd.Hospit..Análises e Diagnósticos
11,AALR3,P/SR ,"1,97","1,56","1,41","2,00","1,46","1,62",-,-,-,-,Serv.Méd.Hospit..Análises e Diagnósticos
12,AALR3,P/Cap. Giro ,"-22,28","-17,67","14,20","198,69","104,96","44,32",-,-,-,-,Serv.Méd.Hospit..Análises e Diagnósticos
13,AALR3,P/Ativo Circ. Liq. ,"-1,09","-0,86","-0,67","-1,08","-0,87","-0,93",-,-,-,-,Serv.Méd.Hospit..Análises e Diagnósticos
14,AALR3,Dív. líquida/PL ,"0,54","0,55","0,47","0,41","0,42","0,42","0,26","0,61","0,38","0,34",Serv.Méd.Hospit..Análises e Diagnósticos
15,AALR3,Dív. líquida/EBITDA ,"3,13","3,13","5,13","2,02","2,42","3,40","1,99","3,05","4,26","1,66",Serv.Méd.Hospit..Análises e Diagnósticos
16,AALR3,Dív. líquida/EBIT ,"7,38","7,38","-61,90","3,69","3,88","7,22","3,07","4,05","9,49","3,12",Serv.Méd.Hospit..Análises e Diagnósticos
17,AALR3,PL/Ativos ,"0,48","0,46","0,47","0,53","0,57","0,53","0,54","0,47","0,51","0,47",Serv.Méd.Hospit..Análises e Diagnósticos
18,AALR3,Passivos/Ativos ,"0,52","0,52","0,52","0,45","0,41","0,44","0,44","0,52","0,49","0,53",Serv.Méd.Hospit..Análises e Diagnósticos
19,AALR3,Liq. corrente ,"0,83","0,83","1,19","1,03","1,04","1,11","1,22","1,15","1,08","1,28",Serv.Méd.Hospit..Análises e Diagnósticos
20,AALR3,M. Bruta ,"31,33%","31,33%","17,80%","26,55%","26,87%","29,81%","37,88%","39,66%","33,96%","39,82%",Serv.Méd.Hospit..Análises e Diagnósticos
21,AALR3,M. EBITDA ,"18,28%","18,28%","11,85%","24,28%","20,42%","13,86%","16,29%","20,64%","16,88%","20,46%",Serv.Méd.Hospit..Análises e Diagnósticos
22,AALR3,M. EBIT ,"7,76%","7,76%","-0,98%","13,30%","12,75%","6,53%","10,57%","15,54%","7,58%","10,92%",Serv.Méd.Hospit..Análises e Diagnósticos
23,AALR3,M. Líquida ,"-0,49%","-0,49%","-10,49%","3,85%","3,72%","0,62%","1,55%","-1,82%","-1,06%","10,03%",Serv.Méd.Hospit..Análises e Diagnósticos
24,AALR3,ROE ,"-0,47%","-0,48%","-8,18%","3,22%","3,19%","0,55%","1,26%","-1,78%","-0,56%","9,90%",Serv.Méd.Hospit..Análises e Diagnósticos
25,AALR3,ROA ,"-0,22%","-0,22%","-3,83%","1,72%","1,81%","0,29%","0,68%","-0,83%","-0,28%","4,70%",Serv.Méd.Hospit..Análises e Diagnósticos
26,AALR3,ROIC ,"4,41%","4,41%","-1,41%","6,57%","6,24%","2,56%","5,52%","7,54%","2,66%","6,87%",Serv.Méd.Hospit..Análises e Diagnósticos
27,AALR3,Giro ativos ,"0,45","0,45","0,37","0,45","0,49","0,47","0,44","0,46","0,27","0,47",Serv.Méd.Hospit..Análises e Diagnósticos
28,AALR3,CAGR Receitas 5 anos ,"3,62%","3,62%","5,83%","22,24%","31,31%",-%,-%,-%,-%,-%,Serv.Méd.Hospit..Análises e Diagnósticos
29,AALR3,CAGR Lucros 5 anos ,-%,-%,-%,-%,"7,69%",-%,-%,-%,-%,-%,Serv.Méd.Hospit..Análises e Diagnósticos
0,ABEV3,D.Y ,"4,16%","4,41%","2,64%","2,63%","3,58%","2,54%","3,90%","4,01%","4,67%",-%,Cervejas e Refrigerantes
1,ABEV3,P/L ,"18,02","19,16","21,64","24,93","21,99","46,01","20,54","22,58","21,24",-,Cervejas e Refrigerantes
2,ABEV3,PEG Ratio ,"1,59","1,69",-,-,"0,43","-1,09","20,78","7,61",-,-,Cervejas e Refrigerantes
3,ABEV3,P/VP ,"2,72","2,89","3,34","4,79","4,30","7,27","5,75","5,80","6,07",-,Cervejas e Refrigerantes
4,ABEV3,EV/EBITDA ,"9,55","10,17","11,01","13,74","10,78","15,87","12,37","12,37","13,62",-,Cervejas e Refrigerantes
5,ABEV3,EV/EBIT ,"12,59","13,40","14,58","17,74","13,57","19,74","14,91","14,39","15,68",-,Cervejas e Refrigerantes
6,ABEV3,P/EBITDA ,"10,21","10,86","11,67","14,17","11,19","16,25","12,51","12,84","14,05",-,Cervejas e Refrigerantes
7,ABEV3,P/EBIT ,"13,46","14,31","15,46","18,29","14,10","20,21","15,07","14,94","16,17",-,Cervejas e Refrigerantes
8,ABEV3,VPA ,"5,34","5,34","4,69","3,90","3,58","2,93","2,85","3,08","2,69",-,Cervejas e Refrigerantes
9,ABEV3,P/Ativo ,"1,65","1,75","1,97","2,89","2,53","3,85","3,07","3,11","3,55",-,Cervejas e Refrigerantes
10,ABEV3,LPA ,"0,80","0,80","0,72","0,75","0,70","0,46","0,80","0,79","0,77",-,Cervejas e Refrigerantes
11,ABEV3,P/SR ,"3,13","3,33","4,22","5,58","4,81","6,98","5,65","6,01","6,73",-,Cervejas e Refrigerantes
12,ABEV3,P/Cap. Giro ,"-954,16","-1.014,69","132,06","112,50","2.004,30","-84,24","-52,75","-153,53","-233,70",-,Cervejas e Refrigerantes
13,ABEV3,P/Ativo Circ. Liq. ,"-2,28","-2,43","-2,74","-3,96","-3,44","-5,38","-4,30","-4,54","-4,98",-,Cervejas e Refrigerantes
14,ABEV3,Dív. líquida/PL ,"-0,18","-0,19","-0,19","-0,14","-0,16","-0,17","-0,06","-0,21","-0,19","-0,21",Cervejas e Refrigerantes
15,ABEV3,Dív. líquida/EBITDA ,"-0,69","-0,69","-0,66","-0,43","-0,42","-0,38","-0,13","-0,47","-0,43","-0,51",Cervejas e Refrigerantes
16,ABEV3,Dív. líquida/EBIT ,"-0,91","-0,91","-0,88","-0,55","-0,53","-0,47","-0,16","-0,54","-0,49","-0,58",Cervejas e Refrigerantes
17,ABEV3,PL/Ativos ,"0,61","0,60","0,59","0,60","0,60","0,53","0,53","0,54","0,59","0,62",Cervejas e Refrigerantes
18,ABEV3,Passivos/Ativos ,"0,39","0,39","0,40","0,39","0,39","0,45","0,44","0,44","0,40","0,36",Cervejas e Refrigerantes
19,ABEV3,Liq. corrente ,"0,99","0,99","1,06","1,10","1,02","0,86","0,83","0,94","0,95","1,20",Cervejas e Refrigerantes
20,ABEV3,M. Bruta ,"51,05%","51,05%","53,64%","58,79%","61,68%","62,36%","63,43%","65,62%","66,35%","67,01%",Cervejas e Refrigerantes
21,ABEV3,M. EBITDA ,"30,69%","30,69%","36,14%","39,41%","43,00%","42,98%","45,20%","46,78%","47,89%","50,02%",Cervejas e Refrigerantes
22,ABEV3,M. EBIT ,"23,29%","23,29%","27,29%","30,52%","34,15%","34,55%","37,50%","40,20%","41,61%","44,02%",Cervejas e Refrigerantes
23,ABEV3,M. Líquida ,"17,39%","17,39%","19,49%","22,40%","21,89%","15,18%","27,51%","26,59%","31,68%","27,25%",Cervejas e Refrigerantes
24,ABEV3,ROE ,"15,08%","15,33%","15,42%","19,22%","19,52%","15,80%","27,99%","25,71%","28,58%","22,23%",Cervejas e Refrigerantes
